Frames,Timestamp,fundamental_freq,pid,qid,voice_label
539,6.604474864232497,140.49642263525286,40,13,yes
540,6.614517919478878,139.25497031910584,40,13,yes
541,6.6245609747252585,139.91789159466472,40,13,yes
542,6.634604029971639,140.50711963469456,40,13,yes
543,6.644647085218019,140.67557141654854,40,13,yes
544,6.6546901404644,139.91696697905567,40,13,yes
545,6.66473319571078,140.44787712539178,40,13,yes
546,6.67477625095716,139.53544207629807,40,13,yes
547,6.684819306203541,138.98976713877516,40,13,yes
548,6.694862361449921,136.803295279371,40,13,yes
549,6.7049054166963025,134.55957672150697,40,13,yes
550,6.714948471942683,131.39615667164924,40,13,yes
551,6.724991527189063,129.65309284600102,40,13,yes
552,6.735034582435444,130.5645034818578,40,13,yes
553,6.745077637681824,132.4572704387485,40,13,yes
554,6.755120692928204,135.16506961497217,40,13,yes
555,6.765163748174585,140.7817430199279,40,13,yes
556,6.775206803420966,141.04569776479582,40,13,yes
557,6.785249858667346,,40,13,no
558,6.795292913913727,,40,13,no
559,6.805335969160107,,40,13,no
560,6.815379024406488,,40,13,no
561,6.825422079652868,,40,13,no
562,6.835465134899248,,40,13,no
563,6.845508190145629,,40,13,no
564,6.855551245392009,,40,13,no
565,6.86559430063839,,40,13,no
566,6.875637355884771,,40,13,no
567,6.885680411131151,,40,13,no
568,6.8957234663775315,,40,13,no
569,6.905766521623912,,40,13,no
570,6.915809576870292,,40,13,no
571,6.925852632116673,,40,13,no
572,6.935895687363054,,40,13,no
573,6.945938742609434,,40,13,no
574,6.955981797855815,,40,13,no
575,6.966024853102195,,40,13,no
576,6.9760679083485755,,40,13,no
577,6.986110963594956,,40,13,no
578,6.996154018841336,,40,13,no
579,7.006197074087717,,40,13,no
580,7.016240129334097,,40,13,no
581,7.026283184580478,,40,13,no
582,7.036326239826859,,40,13,no
583,7.046369295073239,,40,13,no
584,7.056412350319619,,40,13,no
585,7.066455405566,,40,13,no
586,7.07649846081238,,40,13,no
587,7.086541516058761,,40,13,no
