frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
240,0,9.958,0.98,1,-12.3,29.9,255.3,-0.139,-0.035,0.128
241,0,10.0,0.98,1,-12.1,29.2,255.9,-0.154,-0.036000000000000004,0.129
242,0,10.042,0.98,1,-11.7,28.3,256.4,-0.162,-0.032,0.128
243,0,10.083,0.98,1,-11.1,26.9,256.7,-0.17300000000000001,-0.03,0.131
244,0,10.125,0.98,1,-10.2,25.0,256.3,-0.187,-0.03,0.133
245,0,10.167,0.98,1,-9.2,22.4,258.0,-0.207,-0.033,0.139
246,0,10.208,0.98,1,-7.4,19.9,259.1,-0.223,-0.028999999999999998,0.14800000000000002
247,0,10.25,0.98,1,-5.6,17.4,259.6,-0.247,-0.025,0.149
248,0,10.292,0.98,1,-4.5,15.2,259.7,-0.264,-0.017,0.152
249,0,10.333,0.98,1,-3.4,13.3,260.2,-0.275,-0.02,0.155
250,0,10.375,0.98,1,-2.9,11.5,260.0,-0.276,-0.013000000000000001,0.154
251,0,10.417,0.98,1,-2.6,9.6,259.9,-0.275,-0.009000000000000001,0.153
252,0,10.458,0.98,1,-2.2,7.8,260.2,-0.275,-0.01,0.156
253,0,10.5,0.98,1,-1.9,5.8,260.3,-0.272,-0.008,0.157
254,0,10.542,0.98,1,-1.7,3.6,260.2,-0.276,-0.006999999999999999,0.156
255,0,10.583,0.98,1,-1.4,1.6,261.2,-0.29100000000000004,-0.006999999999999999,0.156
256,0,10.625,0.98,1,-1.0,-0.1,261.9,-0.297,-0.009000000000000001,0.155
257,0,10.667,0.98,1,-0.1,-1.7,264.0,-0.301,-0.004,0.156
258,0,10.708,0.98,1,1.0,-3.4,265.5,-0.29600000000000004,-0.004,0.154
259,0,10.75,0.98,1,2.1,-5.3,266.2,-0.294,-0.013000000000000001,0.151
260,0,10.792,0.98,1,3.2,-7.1,268.7,-0.295,-0.02,0.146
261,0,10.833,0.93,1,4.1,-8.8,270.3,-0.29600000000000004,-0.018000000000000002,0.14300000000000002
262,0,10.875,0.93,1,4.7,-10.1,272.2,-0.295,-0.015,0.145
263,0,10.917,0.93,1,5.0,-10.5,273.1,-0.295,-0.018000000000000002,0.146
264,0,10.958,0.93,1,5.5,-11.1,275.1,-0.299,-0.015,0.14800000000000002
265,0,11.0,0.93,1,5.6,-11.7,277.2,-0.299,-0.012,0.14800000000000002
266,0,11.042,0.93,1,5.6,-12.5,278.9,-0.303,-0.006,0.147
267,0,11.083,0.98,1,5.6,-13.1,280.7,-0.314,-0.006,0.14800000000000002
268,0,11.125,0.98,1,6.1,-13.2,282.2,-0.315,-0.009000000000000001,0.14800000000000002
269,0,11.167,0.98,1,7.3,-12.8,283.7,-0.3,-0.018000000000000002,0.15
270,0,11.208,0.98,1,7.9,-12.5,284.1,-0.302,-0.013999999999999999,0.151
271,0,11.25,0.98,1,7.9,-12.4,284.0,-0.312,-0.005,0.15
272,0,11.292,0.98,1,7.9,-12.2,283.5,-0.29600000000000004,-0.006,0.146
273,0,11.333,0.98,1,8.0,-11.6,282.4,-0.27699999999999997,-0.005,0.141
274,0,11.375,0.98,1,7.4,-11.1,281.4,-0.26,0.003,0.13699999999999998
275,0,11.417,0.98,1,6.0,-10.8,279.8,-0.253,0.006999999999999999,0.134
276,0,11.458,0.98,1,3.8,-10.5,278.7,-0.244,0.004,0.13
277,0,11.5,0.98,1,1.1,-10.7,278.3,-0.23800000000000002,0.002,0.125
278,0,11.542,0.98,1,-2.0,-11.4,277.7,-0.233,-0.0,0.11900000000000001
279,0,11.583,0.98,1,-5.5,-12.6,276.7,-0.23199999999999998,0.0,0.115
280,0,11.625,0.98,1,-8.9,-13.5,275.9,-0.223,-0.009000000000000001,0.111
281,0,11.667,0.98,1,-12.2,-14.4,273.9,-0.212,-0.015,0.106
282,0,11.708,0.98,1,-15.6,-15.4,272.0,-0.19899999999999998,-0.02,0.10300000000000001
283,0,11.75,0.98,1,-19.2,-15.8,269.5,-0.19899999999999998,-0.027000000000000003,0.098
284,0,11.792,0.98,1,-23.1,-15.8,266.8,-0.188,-0.034,0.09300000000000001
285,0,11.833,0.98,1,-26.1,-15.4,265.9,-0.172,-0.043,0.08900000000000001
286,0,11.875,0.98,1,-27.9,-14.2,265.4,-0.165,-0.047,0.08
287,0,11.917,0.98,1,-29.5,-12.9,266.1,-0.165,-0.045,0.07400000000000001
288,0,11.958,0.98,1,-30.2,-11.0,265.9,-0.163,-0.046,0.07200000000000001
289,0,12.0,0.98,1,-29.4,-8.5,266.6,-0.153,-0.049,0.07400000000000001
290,0,12.042,0.98,1,-27.7,-5.7,268.6,-0.161,-0.043,0.076
291,0,12.083,0.98,1,-25.0,-3.0,270.8,-0.158,-0.044000000000000004,0.079
292,0,12.125,0.98,1,-22.0,-1.0,272.4,-0.157,-0.045,0.084
293,0,12.167,0.98,1,-19.1,0.5,271.8,-0.14800000000000002,-0.044000000000000004,0.09300000000000001
294,0,12.208,0.98,1,-16.3,1.9,271.5,-0.14300000000000002,-0.038,0.095
